timestamp,source_ip,dest_ip,packet_size,connection_duration
2025-04-18 10:00:00,192.168.1.2,10.0.0.5,512,0.01
2025-04-18 10:00:01,192.168.1.3,10.0.0.5,8000,2.5
2025-04-18 10:00:02,192.168.1.2,10.0.0.8,64,0.02
2025-04-18 10:00:03,192.168.1.5,10.0.0.5,9999,5.0

Destination Port	Flow Duration	Total Fwd Packets	Total Length of Fwd Packets	Fwd Packet Length Max	Fwd Packet Length Min	Fwd Packet Length Mean	Fwd Packet Length Std	Bwd Packet Length Max	Bwd Packet Length Min
22	1266342	41	2664	456	0	64.97560976	109.864573	976	0
22	1319353	41	2664	456	0	64.97560976	109.864573	976	0
22	160	1	0	0	0	0	0	0	0
22	1303488	41	2728	456	0	66.53658537	110.1299454	976	0
35396	77	1	0	0	0	0	0	0	0
22	244	1	0	0	0	0	0	0	0
22	1307239	41	2728	456	0	66.53658537	110.1299454	976	0
60058	82	1	0	0	0	0	0	0	0
22	171	1	0	0	0	0	0	0	0
22	210	1	0	0	0	0	0	0	0
60060	75	1	0	0	0	0	0	0	0
35398	77	1	0	0	0	0	0	0	0
52320	2	2	2071	2065	6	1035.5	1455.932862	0	0
52320	27701	15	18467	2920	0	1231.133333	1054.492489	6	0
21	152547	19	206	43	0	10.84210526	11.90360897	51	0
53235	4	3	18	6	6	6	0	0	0
53234	45	1	6	6	6	6	0	6	6
123	16506	1	48	48	48	48	0	48	48
53235	94	1	6	6	6	6	0	6	6
21	58	1	6	6	6	6	0	6	6
443	4687117	10	703	267	0	70.3	100.477803	2896	0
123	86068	1	48	48	48	48	0	48	48
443	94972	1	0	0	0	0	0	0	0
53	30465	1	45	45	45	45	0	61	61
53	30911	4	136	34	34	34	0	50	50
443	1066855	9	703	267	0	78.11111111	103.3022803	1448	0
123	86016	1	48	48	48	48	0	48	48
443	94848	1	0	0	0	0	0	0	0
0	118012435	141	0	0	0	0	0	0	0
123	16250	1	48	48	48	48	0	48	48
123	22410	1	48	48	48	48	0	48	48
389	55068559	24	3558	1304	0	148.25	369.4866298	2910	0
3268	55091905	24	3204	1305	0	133.5	364.3575645	2910	0
5353	1002497	26	1274	49	49	49	0	0	0
53	179	2	88	44	44	44	0	75	75
53	188	2	116	58	58	58	0	142	142
53	151	2	118	59	59	59	0	143	143
53	189	2	116	58	58	58	0	142	142
53	149	2	118	59	59	59	0	143	143
53	153	2	88	44	44	44	0	105	105
53	159	2	90	45	45	45	0	106	106
53	158	2	118	59	59	59	0	143	143
53	145	2	90	45	45	45	0	106	106
53	147	2	88	44	44	44	0	105	105
53	189	2	86	43	43	43	0	71	71
3268	112794953	32	6448	403	0	201.5	204.7242047	72	72
53	213	2	110	55	55	55	0	116	116
139	79	3	4	4	0	1.333333333	2.309401077	4	4
49671	14867772	11	2408	968	0	218.9090909	380.1022111	952	0
135	14868754	15	1034	168	0	68.93333333	81.53480122	268	0
49666	34758892	17	5300	1755	0	311.7647059	554.2186538	348	0
389	167	2	414	207	207	207	0	163	163
389	160	2	412	206	206	206	0	163	163
389	414955	20	5700	1633	0	285	498.9652451	2634	0
389	304154	14	4100	1646	0	292.8571429	578.0317874	210	0
88	1089	9	3150	1575	0	350	694.5097192	1576	0
88	1090	9	3150	1575	0	350	694.5097192	1576	0
53	30997	1	52	52	52	52	0	68	68
389	67399	18	3882	1313	0	215.6666667	413.4366727	3069	0
3268	85539	36	6724	1313	0	186.7777778	288.4650126	3069	0
123	26443	1	48	48	48	48	0	48	48
53	60668	1	71	71	71	71	0	120	120
53	31468	4	184	46	46	46	0	150	150
53	197	2	102	51	51	51	0	112	112
53	190	2	64	32	32	32	0	48	48
53	163	2	64	32	32	32	0	79	79
53	61033	4	208	52	52	52	0	157	157
53	198	2	88	44	44	44	0	94	94
53	192	2	102	51	51	51	0	112	112
53	159	2	64	32	32	32	0	79	79
88	739	2	500	250	250	250	0	1430	1430
88	697	2	500	250	250	250	0	1430	1430
53	210	2	88	44	44	44	0	94	94
53	212	2	102	51	51	51	0	112	112
88	403	2	352	176	176	176	0	179	179
53	208	2	64	32	32	32	0	48	48
53	265	2	64	32	32	32	0	79	79
53	213	2	88	44	44	44	0	94	94
53	190	2	102	51	51	51	0	112	112
53	210	2	64	32	32	32	0	48	48
53	161	2	64	32	32	32	0	79	79
53	209	2	64	32	32	32	0	48	48
53	199	2	102	51	51	51	0	112	112
53	202	2	88	44	44	44	0	94	94
53	201	2	88	44	44	44	0	94	94
53	211	2	88	44	44	44	0	94	94
53	190	2	102	51	51	51	0	112	112
53	203	2	88	44	44	44	0	94	94
88	93	1	0	0	0	0	0	6	0
88	77	1	0	0	0	0	0	6	0
53	200	2	88	44	44	44	0	94	94
53	165	2	64	32	32	32	0	79	79
53	209	2	64	32	32	32	0	48	48
53	164	2	64	32	32	32	0	79	79
88	440	2	352	176	176	176	0	179	179
53	192	2	88	44	44	44	0	94	94
53	207	2	64	32	32	32	0	48	48
53	209	2	64	32	32	32	0	48	48
53	249	2	88	44	44	44	0	94	94
53	212	2	64	32	32	32	0	48	48
80	5348747	4	210	198	0	52.5	97.04122835	1525	0
80	60136813	5	213	195	0	42.6	85.23379611	1611	0
80	60106576	6	237	213	0	39.5	85.03117076	1638	0
123	16627	1	48	48	48	48	0	48	48
80	3	2	12	6	6	6	0	0	0
80	49507105	4	161	149	0	40.25	72.55515144	1527	0
53	2968703	6	216	36	36	36	0	97	97
53	196	2	64	32	32	32	0	48	48
445	10761166	31	8326	3072	0	268.5806452	637.7002313	420	0
137	1513591	39	1950	50	50	50	0	0	0
137	22	13	650	50	50	50	0	0	0
137	4	2	124	62	62	62	0	0	0
53232	18	1	6	6	6	6	0	6	6
123	43046	1	48	48	48	48	0	48	48
123	16564	1	48	48	48	48	0	48	48
49671	51	1	6	6	6	6	0	6	6
135	59	1	6	6	6	6	0	6	6
123	89775	1	48	48	48	48	0	48	48
52377	64	1	6	6	6	6	0	6	6
52378	144	1	6	6	6	6	0	6	6
123	120	2	96	48	48	48	0	48	48
25909	2	2	2071	2065	6	1035.5	1455.932862	0	0
25909	24856	14	18467	2920	0	1319.071429	1183.430767	6	0
21	151669	18	200	43	0	11.11111111	12.18914121	51	0
6493	20	3	18	6	6	6	0	0	0
6492	67	1	6	6	6	6	0	6	6
53	196	2	64	32	32	32	0	48	48
6493	77	1	6	6	6	6	0	6	6
21	81	1	6	6	6	6	0	6	6
445	10697158	25	7882	3072	0	315.28	704.4069917	420	0
123	95297	1	48	48	48	48	0	48	48
42	17	13	234	18	18	18	0	0	0
443	99015540	8	1283	837	0	160.375	288.8429813	1460	0
53	90417	1	78	78	78	78	0	130	130
53	90878	4	196	49	49	49	0	164	164
53	3341393	6	216	36	36	36	0	97	97
137	132	2	100	50	50	50	0	56	56
137	1500608	39	1950	50	50	50	0	0	0
8080	1045281	3	0	0	0	0	0	6	6
8080	996683	3	0	0	0	0	0	6	6
445	13941240	25	7506	3072	0	300.24	709.1443365	260	0
389	132	2	104	52	52	52	0	89	89
53	212	2	64	32	32	32	0	48	48
123	22455	1	48	48	48	48	0	48	48
443	2562673	9	703	267	0	78.11111111	103.3022803	1448	0
8080	1030757	3	0	0	0	0	0	6	6
8080	1011649	3	0	0	0	0	0	6	6
8080	1024905	3	0	0	0	0	0	6	6
49666	63	1	6	6	6	6	0	6	6
443	95312	1	0	0	0	0	0	0	0
52379	48	1	6	6	6	6	0	6	6
123	36943	1	48	48	48	48	0	48	48
443	935974	9	703	267	0	78.11111111	103.3022803	1448	0
443	95582	1	0	0	0	0	0	0	0
139	64238	49	2488	194	0	50.7755102	65.99850545	440	0
139	11699	1	0	0	0	0	0	0	0
53	224	2	90	45	45	45	0	106	106
53	205	2	46	23	23	23	0	23	23
53	197	2	46	23	23	23	0	23	23
49321	4	2	124	62	62	62	0	0	0
53	148	2	46	23	23	23	0	23	23
53	196	2	46	23	23	23	0	23	23
53	158	2	46	23	23	23	0	23	23
52397	200	1	0	0	0	0	0	0	0
53	156	2	46	23	23	23	0	23	23
53	248	2	46	23	23	23	0	23	23
53	157	2	46	23	23	23	0	23	23
53	157	2	46	23	23	23	0	23	23
53	200	2	46	23	23	23	0	23	23
53	150	2	46	23	23	23	0	23	23
53	206	2	46	23	23	23	0	23	23
53	226	2	46	23	23	23	0	23	23
53	153	2	46	23	23	23	0	23	23
137	22	13	650	50	50	50	0	0	0
123	16356	1	48	48	48	48	0	48	48
8080	1029462	3	0	0	0	0	0	6	6
123	65021306	2	96	48	48	48	0	48	48
139	103	3	4	4	0	1.333333333	2.309401077	4	4
8080	997157	3	0	0	0	0	0	6	6
53	30467	1	45	45	45	45	0	61	61
53	30921	4	136	34	34	34	0	50	50
80	70497026	2	12	6	6	6	0	0	0
443	60467245	11	3876	1269	0	352.3636364	444.0101964	1460	0
53	90606	1	73	73	73	73	0	125	125
53	91044	4	204	51	51	51	0	161	161
137	22	13	650	50	50	50	0	0	0
53238	32	1	6	6	6	6	0	6	6
53237	41	1	6	6	6	6	0	6	6
465	3707506	19	1413	362	0	74.36842105	85.6979259	1418	0
389	45843	10	1002	245	0	100.2	97.29085831	316	162
53	83249	1	43	43	43	43	0	109	109
53	42742	1	43	43	43	43	0	113	113
53	43248	2	64	32	32	32	0	102	102
53	83757	2	64	32	32	32	0	98	98
57204	122089	2	6	6	0	3	4.242640687	0	0
53233	50	1	6	6	6	6	0	6	6
123	16720	1	48	48	48	48	0	48	48
465	2496978	15	1303	378	0	86.86666667	93.89497679	261	0
53	287	2	64	32	32	32	0	98	98
